Animal Name,Stage / Status from Notes,Current / Latest Sire,Latest Bred Date,Source Note,Needs DB Check
Alia,,Image,2026-05-24,Alia - Image - 5-24,Yes
Azure,,Image,2026-05-04,Also Azure - Venmo - 3-28,Yes
Bandi,,Seashell x Eye Candy,2026-04-21,Also listed under Eggs: Polly x Goldwyn - 7-15,Yes
Cade,,Master,2026-05-24,Cade - Master 5-24,Yes
Capri,,,,Name only on paper,Yes
Cardi B,,Venmo,2026-05-30,Cardi B - Venmo 5-30,Yes
Carmen,,Paldwyn,2026-03-19,Carmen - 3-19 Paldwyn,Yes
Casanova,Pregnant noted,,,PG mark; breeding text crossed/unclear,Yes
Catalina,,Eye Candy,2026-07-05,Earlier Venmo 5-3 and 4-11,Yes
Chaching,,Venmo,2026-05-02,Chaching - Venmo 5-2,Yes
Chico,Pregnant / New noted,Detective,2025-12-25,Chico - Detective 12-25 New,Yes
Cisco,,Venmo,2026-05-02,Cisco - Venmo 5-2,Yes
Colors,Pregnant noted,Venmo,2026-04-15,Colors - Venmo 4-15,Yes
Conquor,,,,Name only on paper,Yes
Cookie,,Jinx,2026-03-25,Cookie - Jinx 3-25,Yes
Cooley,,,,Name only on paper,Yes
Crystal,Pregnant noted,Image,2026-05-30,Crystal - Image 5-30 PG,Yes
Emmy,Dry noted,Venmo,2026-04-22,Emmy - Venmo 4-22; Dry Emmy check mark,Yes
Ernest,Pregnant noted,,,Ernest PG,Yes
Missy,Dry / Pregnant noted,,,Missy - Dry PG,Yes
Paddy,Pregnant noted,Image,2026-05-10,Also Paddy - Venmo 4-22,Yes
Panama,,,,Name only on paper,Yes
Peach,,Seashell x Dropbox,2026-07-15,Listed under Eggs,Yes
Pella,Calved,,,Pella - calved,Yes
Pixie,Pregnant noted / another entry says calved,Image,2026-05-22,Conflicting paper statuses,Yes
Sarah,,Major,2026-05-20,Sarah - Major 5-20,Yes
Seashell,,,,Name only on paper,Yes
Seastorm,Pregnant noted,Venmo,2026-04-15,Seastorm - Venmo 4-15 PG,Yes
Sea Turtle,Calved,,,Sea Turtle - calved,Yes
Snickers,,Venmo,2026-05-22,Snickers - Venmo 5-22,Yes
Summer,Calved,,,Summer - calved,Yes
Sunset,Calved,,,Sunset - calved,Yes
Suzie,,Paldwyn,2026-03-17,Suzie - Paldwyn 3-17,Yes
Swish,Pregnant noted,Venmo,2026-03-28,Swish - Venmo 3-28 PG,Yes
The Sea,,Image,2026-07-03,Earlier The Sea - Venmo 4-25,Yes
Velocity,,,,Name only on paper,Yes
Carmella,Pregnant noted,Seashell x Legend,2026-07-15,Listed under Eggs; pregnancy confirmed by owner,Yes
