Animal Name,Bred Date,Sire / Mating,Paper Status,Record Type,Notes
Alia,2026-05-24,Image,,Breeding,
Cade,2026-05-24,Master,,Breeding,
Cardi B,2026-05-30,Venmo,,Breeding,
Catalina,2026-07-05,Eye Candy,,Breeding,Latest written record
Chico,2025-12-25,Detective,PG / New,Breeding,
Crystal,2026-05-30,Image,PG,Breeding,
Paddy,2026-05-10,Image,PG,Breeding,
Pixie,2026-05-22,Image,PG,Breeding,Another paper entry says Pixie calved
Sarah,2026-05-20,Major,,Breeding,
Seastorm,2026-04-15,Venmo,PG,Breeding,
Suzie,2026-03-17,Paldwyn,,Breeding,
Swish,2026-03-28,Venmo,PG,Breeding,
The Sea,2026-07-03,Image,,Breeding,
Snickers,2026-05-22,Venmo,,Breeding,
Azure,2026-05-04,Image,,Breeding,
Cisco,2026-05-02,Venmo,,Breeding,
Chaching,2026-05-02,Venmo,,Breeding,
Carmen,2026-03-19,Paldwyn,PG,Breeding,
Catalina,2026-05-03,Venmo,,Breeding,Earlier paper record
The Sea,2026-04-25,Venmo,,Breeding,Earlier paper record
Paddy,2026-04-22,Venmo,,Breeding,Earlier paper record
Emmy,2026-04-22,Venmo,Dry noted,Breeding,
Bandi,2026-04-21,Seashell x Eye Candy,,Breeding / ET?,Cross written instead of single sire
Colors,2026-04-15,Venmo,PG,Breeding,
Catalina,2026-04-11,Venmo,,Breeding,Earlier paper record
Azure,2026-03-28,Venmo,,Breeding,Earlier paper record
Cookie,2026-03-25,Jinx,,Breeding,
Pike,2026-08-15,Flash,,Breeding,Owner confirmed current breeding
Pixie,2026-08-18,Flash,,Breeding,Owner confirmed current breeding; supersedes earlier ambiguous paper note without deleting history
Sarah,2026-08-20,Hellion,,Breeding,Owner confirmed current breeding
